Row,n,rubric_applied,k0,k1,k2,k3,k4,k5,k6,typed_UC,typed_SC,corrected_UC,corrected_SC,frequency,borderline,notes
w1,24,8a-tail,6,61,208,308,266,107,12,"0,6","1,2,3,4,5","0,6","1,2,3,4,5",6 abt 4,,"8a-tail CONFIRMED: UC={0,6} are the two smallest-count tails; kept."
w2,23,8a-tail,6,74,228,304,241,105,10,"0,6","1,2,3,4,5","0,6","1,2,3,4,5",6 abt 4,,"8a-tail CONFIRMED: UC={0,6} are the two smallest-count tails; kept."
w3,23,8a-tail,8,73,220,301,269,89,8,"0,6","1,2,3,4,5","0,6","1,2,3,4,5",6 abt 3,,"8a-tail CONFIRMED: UC={0,6} are the two smallest-count tails; kept."
w4,22,8a-tail,8,89,269,301,220,73,8,"0,6","1,2,3,4,5","0,6","1,2,3,4,5",6 abt 3,,"8a-tail CONFIRMED: UC={0,6} are the two smallest-count tails; kept."
w5,19,8a-tail,29,154,324,283,145,29,4,"0,6","1,2,3,4,5","0,6","1,2,3,4,5",6 abt 2,,"8a-tail CONFIRMED: UC={0,6} are the two smallest-count tails; kept."
w6,19,8a-tail,28,138,326,304,136,35,1,"0,6","1,2,3,4,5","0,6","1,2,3,4,5",6 abt 3,,"8a-tail CONFIRMED: UC={0,6} are the two smallest-count tails; kept."
w7,20,8a-tail,20,137,297,293,176,37,8,"0,6","1,2,3,4,5","0,6","1,2,3,4,5",6 abt 5,,"8a-tail CONFIRMED: UC={0,6} are the two smallest-count tails; kept."
w8,20,8a-tail,17,126,272,330,176,42,5,"0,6","1,2,3,4,5","0,6","1,2,3,4,5",6 abt 4,,"8a-tail CONFIRMED: UC={0,6} are the two smallest-count tails; kept."
w9,20,8a-tail,23,117,272,307,199,47,3,"0,6","1,2,3,4,5","0,6","1,2,3,4,5",6 abt 1,,"8a-tail CONFIRMED: UC={0,6} are the two smallest-count tails; kept."
w10,15,8a-tail,68,252,368,204,64,11,1,"5,6","0,1,2,3,4","5,6","0,1,2,3,4",none,,"APPLIED AT SOURCE: UC {0,6}->{5,6}, SC->{0,1,2,3,4}; n=15 too narrow for 0,6 tails (two rarest are {5,6}). 8a-tail."
w11,16,8a-tail,47,230,310,267,101,12,1,"5,6","0,1,2,3,4","5,6","0,1,2,3,4",6 abt 1,,"APPLIED AT SOURCE: UC {0,6}->{5,6}, SC->{0,1,2,3,4}; n=16 too narrow for 0,6 tails (two rarest are {5,6}). 8a-tail."
w12,16,8a-tail,61,233,328,248,86,12,0,"5,6","0,1,2,3,4","5,6","0,1,2,3,4",none,,"APPLIED AT SOURCE: UC {0,6}->{5,6}, SC->{0,1,2,3,4}; n=16 too narrow for 0,6 tails (two rarest are {5,6}) (k6 never occurs). 8a-tail."
w13,9,8c-commonality,221,426,260,51,9,1,0,"1,2,3,4","5,6","1,2,3,4","5,6",,,"8c-commonality: clean fit, k0 excluded from UC (convention differs from w43/w20 which include k0); fails (a)&(b)."
w14,10,8c-commonality,180,381,276,113,18,0,0,"1,2,3","4,5,6","1,2,3","4,5,6",4  only 2%,,"8c-commonality: clean fit, k0 excluded from UC (convention differs from w43/w20 which include k0); fails (a)&(b)."
w15,10,8c-commonality,202,391,270,91,14,0,0,"1,2,3","4,5","1,2,3","4,5",4  only 2%,,"CORRECTED AT SOURCE: dropped impossible k=7 from SC (4,5,7->4,5). 8c-commonality."
w16,10,8c-commonality,202,371,285,94,16,0,0,"1,2,3","4,5,6","1,2,3","4,5,6",4  only 2%,,"8c-commonality: clean fit, k0 excluded from UC (convention differs from w43/w20 which include k0); fails (a)&(b)."
w17,6,8c-commonality,387,406,156,17,2,0,0,"1,2","3,4,5","1,2","3,4,5",,,"8c-commonality: clean fit, k0 excluded from UC (convention differs from w43/w20 which include k0); fails (a)&(b)."
w18,10,8c-commonality,173,415,261,98,17,4,0,"1,2,3,4","5,6","1,2,3,4","5,6",,,"8c-commonality: clean fit, k0 excluded from UC (convention differs from w43/w20 which include k0); fails (a)&(b). [doc col34 note: leverage if we go 5 instead of 6, better drop last option wth reason]"
w19,10,8c-commonality,194,395,272,94,13,0,0,"1,2,3,4","5,6","1,2,3,4","5,6",,,"8c-commonality: clean fit, k0 excluded from UC (convention differs from w43/w20 which include k0); fails (a)&(b)."
