deck_group,regime,n_draws_in_regime,raw_winner_count,avg_group_size,expected_winner_count_if_uniform,normalized_rate,n_draws_group_present
1,repeat,289,380,6.0,231.2,1.644,289
2,repeat,289,164,5.191,199.333,0.823,288
3,repeat,289,170,4.638,177.467,0.958,287
4,repeat,289,147,4.077,155.467,0.946,286
5,repeat,289,127,3.379,128.4,0.989,285
6,repeat,289,91,2.923,110.667,0.822,284
7,repeat,289,79,2.658,100.667,0.785,284
8,repeat,289,78,2.327,88.133,0.885,284
9,repeat,289,55,2.035,77.067,0.714,284
10,repeat,289,67,1.908,72.0,0.931,283
11,repeat,289,68,1.777,66.8,1.018,282
12,repeat,289,51,1.541,57.733,0.883,281
13,repeat,289,48,1.491,55.467,0.865,279
14,repeat,289,48,1.292,47.733,1.006,277
15,repeat,289,44,1.263,44.8,0.982,266
16,repeat,289,39,1.145,34.667,1.125,227
17,repeat,289,28,1.11,25.467,1.099,172
18,repeat,289,11,1.085,16.933,0.65,117
19,repeat,289,7,1.0,9.2,0.761,69
20,repeat,289,4,1.0,3.6,1.111,27
21,repeat,289,0,1.0,0.933,0.0,7
22,repeat,289,0,1.0,0.133,0.0,1
unseen,repeat,289,28,6.108,30.133,0.929,37
1,no_repeat,210,0,6.0,168.0,0.0,210
2,no_repeat,210,152,5.31,148.667,1.022,210
3,no_repeat,210,150,4.576,128.133,1.171,210
4,no_repeat,210,123,3.824,107.067,1.149,210
5,no_repeat,210,124,3.495,97.867,1.267,210
6,no_repeat,210,88,2.952,82.667,1.065,210
7,no_repeat,210,90,2.536,70.667,1.274,209
8,no_repeat,210,78,2.317,64.267,1.214,208
9,no_repeat,210,66,2.193,60.533,1.09,207
10,no_repeat,210,62,2.048,56.533,1.097,207
11,no_repeat,210,55,1.782,48.933,1.124,206
12,no_repeat,210,53,1.553,42.667,1.242,206
13,no_repeat,210,43,1.383,38.0,1.132,206
14,no_repeat,210,51,1.309,35.6,1.433,204
15,no_repeat,210,35,1.227,32.4,1.08,198
16,no_repeat,210,26,1.162,25.867,1.005,167
17,no_repeat,210,21,1.097,18.133,1.158,124
18,no_repeat,210,21,1.1,13.2,1.591,90
19,no_repeat,210,8,1.019,7.333,1.091,54
20,no_repeat,210,2,1.0,2.4,0.833,18
21,no_repeat,210,1,1.0,0.533,1.875,4
unseen,no_repeat,210,11,4.158,10.533,1.044,19
