n1,n2,n3,n4,n5,n6,in_3456,in_4456,in_plus,count
1,2,3,4,5,6,True,True,True,3
1,2,3,4,5,7,True,True,True,3
1,2,3,4,5,8,True,True,True,3
1,2,3,4,5,9,True,True,True,3
1,2,3,4,5,10,True,True,True,3
1,2,3,4,5,11,True,True,True,3
1,2,3,4,5,12,True,True,True,3
1,2,3,4,5,13,True,True,True,3
1,2,3,4,5,14,True,True,True,3
1,2,3,4,5,15,True,True,True,3
1,2,3,4,5,16,True,True,True,3
1,2,3,4,5,17,True,True,True,3
1,2,3,4,5,18,True,True,True,3
1,2,3,4,5,19,True,True,True,3
1,2,3,4,5,20,True,True,True,3
1,2,3,4,5,21,True,True,True,3
1,2,3,4,5,22,True,True,True,3
1,2,3,4,5,23,True,True,True,3
1,2,3,4,5,24,True,True,True,3
1,2,3,4,5,25,True,True,True,3
1,2,3,4,5,26,True,True,True,3
1,2,3,4,5,27,True,True,True,3
1,2,3,4,5,28,True,True,True,3
1,2,3,4,5,29,True,True,True,3
1,2,3,4,5,30,True,True,True,3
1,2,3,4,5,31,True,True,True,3
1,2,3,4,5,32,True,True,True,3
1,2,3,4,5,33,True,True,True,3
1,2,3,4,5,34,True,True,True,3
1,2,3,4,5,35,True,True,True,3
1,2,3,4,5,36,True,True,True,3
1,2,3,4,5,37,True,True,True,3
1,2,3,4,5,38,True,True,True,3
1,2,3,4,5,39,True,True,True,3
1,2,3,4,5,40,True,True,True,3
1,2,3,4,5,41,True,True,True,3
1,2,3,4,5,42,True,True,True,3
1,2,3,4,5,43,True,True,True,3
1,2,3,4,5,44,True,True,True,3
1,2,3,4,5,45,True,True,True,3
1,2,3,4,6,7,True,True,True,3
1,2,3,4,6,8,True,True,True,3
1,2,3,4,6,9,True,True,True,3
1,2,3,4,6,10,True,True,True,3
1,2,3,4,6,11,True,True,True,3
1,2,3,4,6,12,True,True,True,3
1,2,3,4,6,13,True,True,True,3
1,2,3,4,6,14,True,True,True,3
1,2,3,4,6,15,True,True,True,3
1,2,3,4,6,16,True,True,True,3
1,2,3,4,6,17,True,True,True,3
1,2,3,4,6,18,True,True,True,3
1,2,3,4,6,19,True,True,True,3
1,2,3,4,6,20,True,True,True,3
1,2,3,4,6,21,True,True,True,3
1,2,3,4,6,22,True,True,True,3
1,2,3,4,6,23,True,True,True,3
1,2,3,4,6,24,True,True,True,3
1,2,3,4,6,25,True,True,True,3
1,2,3,4,6,26,True,True,True,3
1,2,3,4,6,27,True,True,True,3
1,2,3,4,6,28,True,True,True,3
1,2,3,4,6,29,True,True,True,3
1,2,3,4,6,30,True,True,True,3
1,2,3,4,6,31,True,True,True,3
1,2,3,4,6,32,True,True,True,3
1,2,3,4,6,33,True,True,True,3
1,2,3,4,6,34,True,True,True,3
1,2,3,4,6,35,True,True,True,3
1,2,3,4,6,36,True,True,True,3
1,2,3,4,6,37,True,True,True,3
1,2,3,4,6,38,True,True,True,3
1,2,3,4,6,39,True,True,True,3
1,2,3,4,6,40,True,True,True,3
1,2,3,4,6,41,True,True,True,3
1,2,3,4,6,42,True,True,True,3
1,2,3,4,6,43,True,True,True,3
1,2,3,4,6,44,True,True,True,3
1,2,3,4,6,45,True,True,True,3
1,2,3,4,7,8,True,True,True,3
1,2,3,4,7,9,True,True,True,3
1,2,3,4,7,10,True,True,True,3
1,2,3,4,7,11,True,True,True,3
1,2,3,4,7,12,True,True,True,3
1,2,3,4,7,13,True,True,True,3
1,2,3,4,7,14,True,True,True,3
1,2,3,4,7,15,True,True,True,3
